ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,airlines,0.39352,425.6843
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,airlines,0.38556,228.4275
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB,5,airlines,0.41856,214.1534
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,airlines,0.4058400000000001,2306.4614
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,airlines,0.3929600000000001,239.37400000000002
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators),4,airlines,0.37660000000000005,138.4221
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.36756,165.1377
Decision Tree-Extra Tree-MultinomialNB,3,airlines,0.41236000000000006,112.9202
Decision Tree-Extra Tree-MultinomialNB-Extra Trees,4,airlines,0.38555999999999996,326.10980000000006
Decision Tree-Extra Tree-MultinomialNB-Extra Trees-Gradient Boosting,5,airlines,0.37624,327.7755
Decision Tree-Extra Tree-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,airlines,0.38111999999999996,357.3284
Decision Tree-Extra Tree-MultinomialNB-Gradient Boosting,4,airlines,0.3698,129.9838
Decision Tree-Extra Tree-MultinomialNB-Nearest Neighbors,4,airlines,0.39752,2258.3478
Decision Tree-Extra Tree-MultinomialNB-Nearest Neighbors-Extra Trees,5,airlines,0.39152,2489.0906999999997
Decision Tree-Extra Tree-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,airlines,0.38,2493.5412
Decision Tree-Extra Tree-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,airlines,0.39015999999999995,2303.6881999999996
Decision Tree-Extra Tree-MultinomialNB-Random Forest (10 estimators),4,airlines,0.38252,135.1094
Decision Tree-Extra Tree-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.37160000000000004,149.07340000000002
Decision Tree-Extra Tree-Nearest Neighbors,3,airlines,0.40544,2312.3498
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees,4,airlines,0.38988,2625.5175000000004
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees-Gradient Boosting,5,airlines,0.37624,2493.7765
Decision Tree-Extra Tree-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,airlines,0.37839999999999996,2464.7143
