ensembleDescription,k,dataset,errorRate,timeTaken
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant,4,Australian,0.15217391304347827,2.6876
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,Australian,0.14347826086956522,3.3008
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,Australian,0.15507246376811593,17.0998
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,Australian,0.1492753623188406,3.3066000000000004
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-MultinomialNB,5,Australian,0.15362318840579708,3.3016999999999994
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,Australian,0.14782608695652175,6.799200000000001
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,Australian,0.15072463768115943,3.3953
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,Australian,0.14782608695652172,4.5004
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB,4,Australian,0.16666666666666666,3.1997
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Extra Trees,5,Australian,0.15217391304347824,15.205700000000002
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Gradient Boosting,5,Australian,0.15217391304347827,3.4993000000000003
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors,5,Australian,0.1797101449275362,7.0005
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Random Forest (10 estimators),5,Australian,0.14782608695652175,4.294300000000001
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors,4,Australian,0.16956521739130434,7.3001000000000005
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,Australian,0.14202898550724638,18.9998
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,Australian,0.14347826086956522,7.0994
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,Australian,0.14057971014492754,8.6007
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant,4,Australian,0.1869565217391304,2.4995
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,Australian,0.15217391304347827,3.1937
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,Australian,0.14637681159420288,17.582200000000004
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,Australian,0.14782608695652172,3.2
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB,5,Australian,0.16521739130434782,2.8997
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,Australian,0.1681159420289855,7.117699999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,Australian,0.14347826086956522,4.8001
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators),4,Australian,0.14492753623188404,4.4004
Decision Tree-Extra Tree-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.14347826086956522,5.1996
Decision Tree-Extra Tree-MultinomialNB,3,Australian,0.1869565217391304,2.8992000000000004
Decision Tree-Extra Tree-MultinomialNB-Extra Trees,4,Australian,0.1681159420289855,17.2534
Decision Tree-Extra Tree-MultinomialNB-Extra Trees-Gradient Boosting,5,Australian,0.15652173913043477,16.6071
Decision Tree-Extra Tree-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,Australian,0.15217391304347827,17.8007
Decision Tree-Extra Tree-MultinomialNB-Gradient Boosting,4,Australian,0.16956521739130434,3.3009
