ensembleDescription,k,dataset,errorRate
Perceptron-Ridge-SGD-Multi-layer Perceptron-Gradient Boosting,5,Digits,0.04897889509621353
Perceptron-Ridge-SGD-Linear Discriminant-Quadratic Discriminant,5,Digits,0.0629050279329609
Perceptron-Ridge-SGD-Linear Discriminant-BernoulliNB,5,Digits,0.07568280571073867
Perceptron-Ridge-SGD-Linear Discriminant-MultinomialNB,5,Digits,0.0717939168218498
Perceptron-Ridge-SGD-Linear Discriminant-Nearest Neighbors,5,Digits,0.055667287399130974
Perceptron-Ridge-SGD-Linear Discriminant-Extra Trees,5,Digits,0.0590006207324643
Perceptron-Ridge-SGD-Linear Discriminant-Random Forest (10 estimators),5,Digits,0.0662445685909373
Perceptron-Ridge-SGD-Linear Discriminant-Gradient Boosting,5,Digits,0.06346058348851645
Perceptron-Ridge-SGD-Quadratic Discriminant-BernoulliNB,5,Digits,0.062343265052762255
Perceptron-Ridge-SGD-Quadratic Discriminant-MultinomialNB,5,Digits,0.06624767225325884
Perceptron-Ridge-SGD-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.047861576660459336
Perceptron-Ridge-SGD-Quadratic Discriminant-Extra Trees,5,Digits,0.04953134698944754
Perceptron-Ridge-SGD-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.05176598386095592
Perceptron-Ridge-SGD-Quadratic Discriminant-Gradient Boosting,5,Digits,0.0551024208566108
Perceptron-Ridge-SGD-BernoulliNB-MultinomialNB,5,Digits,0.07680633147113594
Perceptron-Ridge-SGD-BernoulliNB-Nearest Neighbors,5,Digits,0.05009931719428926
Perceptron-Ridge-SGD-BernoulliNB-Extra Trees,5,Digits,0.053991309745499684
Perceptron-Ridge-SGD-BernoulliNB-Random Forest (10 estimators),5,Digits,0.05956238361266294
Perceptron-Ridge-SGD-BernoulliNB-Gradient Boosting,5,Digits,0.06067970204841714
Perceptron-Ridge-SGD-MultinomialNB-Nearest Neighbors,5,Digits,0.05288640595903164
Perceptron-Ridge-SGD-MultinomialNB-Extra Trees,5,Digits,0.0551024208566108
Perceptron-Ridge-SGD-MultinomialNB-Random Forest (10 estimators),5,Digits,0.05845437616387337
Perceptron-Ridge-SGD-MultinomialNB-Gradient Boosting,5,Digits,0.06290502793296089
Perceptron-Ridge-SGD-Nearest Neighbors-Extra Trees,5,Digits,0.042293606455617624
Perceptron-Ridge-SGD-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.04174425822470516
Perceptron-Ridge-SGD-Nearest Neighbors-Gradient Boosting,5,Digits,0.04675356921166976
Perceptron-Ridge-SGD-Extra Trees-Random Forest (10 estimators),5,Digits,0.047861576660459336
Perceptron-Ridge-SGD-Extra Trees-Gradient Boosting,5,Digits,0.04897889509621353
Perceptron-Ridge-SGD-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05288330229671012
Perceptron-Ridge-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,Digits,0.05397889509621353
Perceptron-Ridge-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,Digits,0.07123215394165114
Perceptron-Ridge-Multi-layer Perceptron-Linear Discriminant-MultinomialNB,5,Digits,0.06789571694599628
Perceptron-Ridge-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,Digits,0.04339851024208566
Perceptron-Ridge-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,Digits,0.04618249534450651
Perceptron-Ridge-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,Digits,0.052873991309745495
Perceptron-Ridge-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,Digits,0.05342644320297951
Perceptron-Ridge-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,Digits,0.05397268777157045
Perceptron-Ridge-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB,5,Digits,0.05509621353196772
Perceptron-Ridge-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.03560831781502173
Perceptron-Ridge-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,Digits,0.038947858472998136
Perceptron-Ridge-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.04285226567349472
Perceptron-Ridge-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,Digits,0.045068280571073864
Perceptron-Ridge-Multi-layer Perceptron-BernoulliNB-MultinomialNB,5,Digits,0.06900062073246431
Perceptron-Ridge-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,Digits,0.042284295468653005
Perceptron-Ridge-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,Digits,0.04784605834885164
Perceptron-Ridge-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,Digits,0.051756672873991307
Perceptron-Ridge-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,Digits,0.051744258224705145
Perceptron-Ridge-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors,5,Digits,0.04229050279329608
Perceptron-Ridge-Multi-layer Perceptron-MultinomialNB-Extra Trees,5,Digits,0.04673805090006207
Perceptron-Ridge-Multi-layer Perceptron-MultinomialNB-Random Forest (10 estimators),5,Digits,0.0500869025450031
Perceptron-Ridge-Multi-layer Perceptron-MultinomialNB-Gradient Boosting,5,Digits,0.05175356921166976
Perceptron-Ridge-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,Digits,0.03560211049037865
Perceptron-Ridge-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.036166977032898825
Perceptron-Ridge-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,Digits,0.03839230291744258
Perceptron-Ridge-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,Digits,0.041166977032898816
Perceptron-Ridge-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,Digits,0.04229050279329609
Perceptron-Ridge-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.046741154562383605
Perceptron-Ridge-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,Digits,0.07291123525760397
Perceptron-Ridge-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,Digits,0.07013345747982619
Perceptron-Ridge-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.04786468032278087
Perceptron-Ridge-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,Digits,0.05175977653631285
Perceptron-Ridge-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.05622594661700807
Perceptron-Ridge-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,Digits,0.05788330229671011
Perceptron-Ridge-Linear Discriminant-BernoulliNB-MultinomialNB,5,Digits,0.0801334574798262
Perceptron-Ridge-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,Digits,0.06567349472377405
Perceptron-Ridge-Linear Discriminant-BernoulliNB-Extra Trees,5,Digits,0.07067659838609561
Perceptron-Ridge-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,Digits,0.074016139044072
Perceptron-Ridge-Linear Discriminant-BernoulliNB-Gradient Boosting,5,Digits,0.07402234636871509
Perceptron-Ridge-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,Digits,0.06345437616387337
Perceptron-Ridge-Linear Discriminant-MultinomialNB-Extra Trees,5,Digits,0.06567349472377405
Perceptron-Ridge-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,Digits,0.0723556797020484
Perceptron-Ridge-Linear Discriminant-MultinomialNB-Gradient Boosting,5,Digits,0.07012725015518312
Perceptron-Ridge-Linear Discriminant-Nearest Neighbors-Extra Trees,5,Digits,0.041176288019863436
Perceptron-Ridge-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.04731222842954686
Perceptron-Ridge-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,Digits,0.04953134698944755
Perceptron-Ridge-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,Digits,0.0534326505276226
Perceptron-Ridge-Linear Discriminant-Extra Trees-Gradient Boosting,5,Digits,0.051201117318435754
Perceptron-Ridge-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.057330850403476095
Perceptron-Ridge-Quadratic Discriminant-BernoulliNB-MultinomialNB,5,Digits,0.07624146492861576
Perceptron-Ridge-Quadratic Discriminant-BernoulliNB-Nearest Neighbors,5,Digits,0.051750465549348236
Perceptron-Ridge-Quadratic Discriminant-BernoulliNB-Extra Trees,5,Digits,0.052864680322780876
Perceptron-Ridge-Quadratic Discriminant-BernoulliNB-Random Forest (10 estimators),5,Digits,0.06066108007448788
Perceptron-Ridge-Quadratic Discriminant-BernoulliNB-Gradient Boosting,5,Digits,0.05621042830540037
Perceptron-Ridge-Quadratic Discriminant-MultinomialNB-Nearest Neighbors,5,Digits,0.051756672873991307
Perceptron-Ridge-Quadratic Discriminant-MultinomialNB-Extra Trees,5,Digits,0.05342954686530105
Perceptron-Ridge-Quadratic Discriminant-MultinomialNB-Random Forest (10 estimators),5,Digits,0.0612290502793296
Perceptron-Ridge-Quadratic Discriminant-MultinomialNB-Gradient Boosting,5,Digits,0.05677839851024208
Perceptron-Ridge-Quadratic Discriminant-Nearest Neighbors-Extra Trees,5,Digits,0.0339292364990689
Perceptron-Ridge-Quadratic Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.038401613904407196
Perceptron-Ridge-Quadratic Discriminant-Nearest Neighbors-Gradient Boosting,5,Digits,0.038392302917442576
Perceptron-Ridge-Quadratic Discriminant-Extra Trees-Random Forest (10 estimators),5,Digits,0.040630043451272496
Perceptron-Ridge-Quadratic Discriminant-Extra Trees-Gradient Boosting,5,Digits,0.04006207324643078
Perceptron-Ridge-Quadratic Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.04730912476722532
Perceptron-Ridge-BernoulliNB-MultinomialNB-Nearest Neighbors,5,Digits,0.06455617628801986
Perceptron-Ridge-BernoulliNB-MultinomialNB-Extra Trees,5,Digits,0.06844506517690875
Perceptron-Ridge-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,Digits,0.07512725015518312
Perceptron-Ridge-BernoulliNB-MultinomialNB-Gradient Boosting,5,Digits,0.0701272501551831
Perceptron-Ridge-BernoulliNB-Nearest Neighbors-Extra Trees,5,Digits,0.04061762880198634
Perceptron-Ridge-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.04620111731843575
Perceptron-Ridge-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,Digits,0.04507448789571694
Perceptron-Ridge-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,Digits,0.05120732464307883
Perceptron-Ridge-BernoulliNB-Extra Trees-Gradient Boosting,5,Digits,0.05008069522036003
Perceptron-Ridge-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05510552451893234
Perceptron-Ridge-MultinomialNB-Nearest Neighbors-Extra Trees,5,Digits,0.04006828057107387
Perceptron-Ridge-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.04564245810055866
Perceptron-Ridge-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,Digits,0.04563935443823712
Perceptron-Ridge-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,Digits,0.04897889509621352
Perceptron-Ridge-MultinomialNB-Extra Trees-Gradient Boosting,5,Digits,0.04786157666045934
Perceptron-Ridge-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.055670391061452516
Perceptron-Ridge-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,Digits,0.0333860955927995
Perceptron-Ridge-Nearest Neighbors-Extra Trees-Gradient Boosting,5,Digits,0.035611421477343266
Perceptron-Ridge-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.0389602731222843
Perceptron-Ridge-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.0428584729981378
Perceptron-SGD-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,Digits,0.051201117318435754
Perceptron-SGD-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,Digits,0.05899751707014276
Perceptron-SGD-Multi-layer Perceptron-Linear Discriminant-MultinomialNB,5,Digits,0.05788950962135318
Perceptron-SGD-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,Digits,0.04396337678460583
Perceptron-SGD-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,Digits,0.04563625077591558
Perceptron-SGD-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,Digits,0.05175977653631285
Perceptron-SGD-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,Digits,0.050096213531967713
Perceptron-SGD-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB,5,Digits,0.052867783985102425
Perceptron-SGD-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB,5,Digits,0.055657976412166354
Perceptron-SGD-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.03616387337057728
Perceptron-SGD-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees,5,Digits,0.03671942892613284
Perceptron-SGD-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.04062073246430788
Perceptron-SGD-Multi-layer Perceptron-Quadratic Discriminant-Gradient Boosting,5,Digits,0.043404717566728736
Perceptron-SGD-Multi-layer Perceptron-BernoulliNB-MultinomialNB,5,Digits,0.06456548727498448
Perceptron-SGD-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,Digits,0.04229050279329609
Perceptron-SGD-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,Digits,0.046179391682184975
Perceptron-SGD-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,Digits,0.048975791433891996
Perceptron-SGD-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,Digits,0.050648665425201744
Perceptron-SGD-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors,5,Digits,0.04284605834885165
Perceptron-SGD-Multi-layer Perceptron-MultinomialNB-Extra Trees,5,Digits,0.045623836126629416
Perceptron-SGD-Multi-layer Perceptron-MultinomialNB-Random Forest (10 estimators),5,Digits,0.04897579143389199
Perceptron-SGD-Multi-layer Perceptron-MultinomialNB-Gradient Boosting,5,Digits,0.04786778398510243
Perceptron-SGD-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,Digits,0.03393544382371198
Perceptron-SGD-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.03505586592178771
Perceptron-SGD-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,Digits,0.037839851024208566
Perceptron-SGD-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,Digits,0.03672253258845438
Perceptron-SGD-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,Digits,0.04117939168218498
Perceptron-SGD-Multi-layer Perceptron-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.04285226567349472
Perceptron-SGD-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,Digits,0.0679050279329609
Perceptron-SGD-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,Digits,0.06624767225325885
Perceptron-SGD-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.04786157666045934
Perceptron-SGD-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,Digits,0.04953134698944754
Perceptron-SGD-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.05622284295468653
Perceptron-SGD-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,Digits,0.05732774674115456
Perceptron-SGD-Linear Discriminant-BernoulliNB-MultinomialNB,5,Digits,0.08180943513345748
Perceptron-SGD-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,Digits,0.05732774674115455
Perceptron-SGD-Linear Discriminant-BernoulliNB-Extra Trees,5,Digits,0.06010862818125386
Perceptron-SGD-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,Digits,0.06401303538175046
Perceptron-SGD-Linear Discriminant-BernoulliNB-Gradient Boosting,5,Digits,0.06680012414649286
Perceptron-SGD-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,Digits,0.055667287399130974
Perceptron-SGD-Linear Discriminant-MultinomialNB-Extra Trees,5,Digits,0.05788330229671011
Perceptron-SGD-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,Digits,0.06067659838609559
Perceptron-SGD-Linear Discriminant-MultinomialNB-Gradient Boosting,5,Digits,0.06401613904407201
Perceptron-SGD-Linear Discriminant-Nearest Neighbors-Extra Trees,5,Digits,0.04229671011793916
Perceptron-SGD-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.04675356921166976
Perceptron-SGD-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,Digits,0.04786778398510243
Perceptron-SGD-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,Digits,0.04954065797641217
Perceptron-SGD-Linear Discriminant-Extra Trees-Gradient Boosting,5,Digits,0.05009310986964619
Perceptron-SGD-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05566728739913098
Perceptron-SGD-Quadratic Discriminant-BernoulliNB-MultinomialNB,5,Digits,0.0784729981378026
Perceptron-SGD-Quadratic Discriminant-BernoulliNB-Nearest Neighbors,5,Digits,0.04675667287399131
Perceptron-SGD-Quadratic Discriminant-BernoulliNB-Extra Trees,5,Digits,0.05231843575418994
Perceptron-SGD-Quadratic Discriminant-BernoulliNB-Random Forest (10 estimators),5,Digits,0.05788640595903165
Perceptron-SGD-Quadratic Discriminant-BernoulliNB-Gradient Boosting,5,Digits,0.0590068280571074
Perceptron-SGD-Quadratic Discriminant-MultinomialNB-Nearest Neighbors,5,Digits,0.04731843575418994
Perceptron-SGD-Quadratic Discriminant-MultinomialNB-Extra Trees,5,Digits,0.053991309745499684
Perceptron-SGD-Quadratic Discriminant-MultinomialNB-Random Forest (10 estimators),5,Digits,0.057898820608317816
Perceptron-SGD-Quadratic Discriminant-MultinomialNB-Gradient Boosting,5,Digits,0.05845437616387339
Perceptron-SGD-Quadratic Discriminant-Nearest Neighbors-Extra Trees,5,Digits,0.03393544382371198
Perceptron-SGD-Quadratic Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.03506828057107387
Perceptron-SGD-Quadratic Discriminant-Nearest Neighbors-Gradient Boosting,5,Digits,0.03839851024208566
Perceptron-SGD-Quadratic Discriminant-Extra Trees-Random Forest (10 estimators),5,Digits,0.037846058348851644
Perceptron-SGD-Quadratic Discriminant-Extra Trees-Gradient Boosting,5,Digits,0.0395127250155183
Perceptron-SGD-Quadratic Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.04620111731843575
Perceptron-SGD-BernoulliNB-MultinomialNB-Nearest Neighbors,5,Digits,0.060124146492861574
Perceptron-SGD-BernoulliNB-MultinomialNB-Extra Trees,5,Digits,0.06290192427063934
Perceptron-SGD-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,Digits,0.06957790192427063
Perceptron-SGD-BernoulliNB-MultinomialNB-Gradient Boosting,5,Digits,0.06791433891992552
Perceptron-SGD-BernoulliNB-Nearest Neighbors-Extra Trees,5,Digits,0.042293606455617624
Perceptron-SGD-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.043981998758535076
Perceptron-SGD-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,Digits,0.04954065797641217
Perceptron-SGD-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,Digits,0.04620422098075729
Perceptron-SGD-BernoulliNB-Extra Trees-Gradient Boosting,5,Digits,0.04954065797641217
Perceptron-SGD-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.05566728739913098
Perceptron-SGD-MultinomialNB-Nearest Neighbors-Extra Trees,5,Digits,0.041738050900062065
Perceptron-SGD-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.04565176908752328
Perceptron-SGD-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,Digits,0.048985102420856616
Perceptron-SGD-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,Digits,0.050651769087523266
Perceptron-SGD-MultinomialNB-Extra Trees-Gradient Boosting,5,Digits,0.04897889509621353
Perceptron-SGD-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.057898820608317816
Perceptron-SGD-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,Digits,0.03227808814400993
Perceptron-SGD-Nearest Neighbors-Extra Trees-Gradient Boosting,5,Digits,0.03672563625077592
Perceptron-SGD-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.03951893234016139
Perceptron-SGD-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.043414028553693355
Perceptron-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,Digits,0.055648665425201735
Perceptron-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,Digits,0.054540657976412166
Perceptron-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,Digits,0.03616387337057729
Perceptron-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,Digits,0.03672253258845438
Perceptron-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,Digits,0.04229671011793917
Perceptron-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,Digits,0.0439602731222843
Perceptron-Multi-layer Perceptron-Linear Discriminant-BernoulliNB-MultinomialNB,5,Digits,0.0734481688392303
Perceptron-Multi-layer Perceptron-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,Digits,0.043960273122284295
Perceptron-Multi-layer Perceptron-Linear Discriminant-BernoulliNB-Extra Trees,5,Digits,0.05007759155803848
Perceptron-Multi-layer Perceptron-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,Digits,0.05342644320297951
Perceptron-Multi-layer Perceptron-Linear Discriminant-BernoulliNB-Gradient Boosting,5,Digits,0.05342954686530106
Perceptron-Multi-layer Perceptron-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,Digits,0.04396648044692737
Perceptron-Multi-layer Perceptron-Linear Discriminant-MultinomialNB-Extra Trees,5,Digits,0.04841402855369335
Perceptron-Multi-layer Perceptron-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,Digits,0.05065176908752328
Perceptron-Multi-layer Perceptron-Linear Discriminant-MultinomialNB-Gradient Boosting,5,Digits,0.05287709497206705
Perceptron-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors-Extra Trees,5,Digits,0.03449099937926754
Perceptron-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.03671942892613284
Perceptron-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,Digits,0.03672563625077592
Perceptron-Multi-layer Perceptron-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,Digits,0.04005586592178771
Perceptron-Multi-layer Perceptron-Linear Discriminant-Extra Trees-Gradient Boosting,5,Digits,0.040623836126629426
Perceptron-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.045633147113594036
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB-MultinomialNB,5,Digits,0.06733085040347611
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB-Nearest Neighbors,5,Digits,0.035611421477343266
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB-Extra Trees,5,Digits,0.03949720670391061
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB-Random Forest (10 estimators),5,Digits,0.048407821229050275
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-BernoulliNB-Gradient Boosting,5,Digits,0.04617628801986343
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB-Nearest Neighbors,5,Digits,0.0356145251396648
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB-Extra Trees,5,Digits,0.04172873991309746
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB-Random Forest (10 estimators),5,Digits,0.04786157666045934
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-MultinomialNB-Gradient Boosting,5,Digits,0.04673805090006207
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors-Extra Trees,5,Digits,0.03225946617008069
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.03171942892613284
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Nearest Neighbors-Gradient Boosting,5,Digits,0.03226567349472377
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees-Random Forest (10 estimators),5,Digits,0.03449720670391061
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Extra Trees-Gradient Boosting,5,Digits,0.032824332712600865
Perceptron-Multi-layer Perceptron-Quadratic Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.03895406579764121
Perceptron-Multi-layer Perceptron-BernoulliNB-MultinomialNB-Nearest Neighbors,5,Digits,0.046188702669149595
Perceptron-Multi-layer Perceptron-BernoulliNB-MultinomialNB-Extra Trees,5,Digits,0.050074487895716946
Perceptron-Multi-layer Perceptron-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,Digits,0.05898820608317814
Perceptron-Multi-layer Perceptron-BernoulliNB-MultinomialNB-Gradient Boosting,5,Digits,0.05676288019863438
Perceptron-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors-Extra Trees,5,Digits,0.03560211049037865
Perceptron-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.035617628801986344
Perceptron-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,Digits,0.03894785847299814
Perceptron-Multi-layer Perceptron-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,Digits,0.041728739913097446
Perceptron-Multi-layer Perceptron-BernoulliNB-Extra Trees-Gradient Boosting,5,Digits,0.042839851024208564
Perceptron-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.04786468032278087
Perceptron-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors-Extra Trees,5,Digits,0.03504965859714464
Perceptron-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,Digits,0.03450651769087523
Perceptron-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,Digits,0.03672563625077592
Perceptron-Multi-layer Perceptron-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,Digits,0.038947858472998136
Perceptron-Multi-layer Perceptron-MultinomialNB-Extra Trees-Gradient Boosting,5,Digits,0.04006207324643079
Perceptron-Multi-layer Perceptron-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.046759776536312844
Perceptron-Multi-layer Perceptron-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,Digits,0.030602110490378642
Perceptron-Multi-layer Perceptron-Nearest Neighbors-Extra Trees-Gradient Boosting,5,Digits,0.031707014276846676
Perceptron-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.03283054003724394
Perceptron-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Digits,0.03505276225946617
